session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5e9da9ea5597de0b5a05d3a4,5c7fc056efcd55001405a74d,AWAITING REVIEW,2020-04-20 13:55:56,2020-04-20 14:20:28,1471.951,24,43,0,100,,34AE75B1,Italy,Italy,Part-Time,Italian,Italy,Male,Yes
5e9da9ea32b4a20bda7aaf66,5e81b038c8977f000964e5b2,AWAITING REVIEW,2020-04-20 13:55:58,2020-04-20 14:37:12,2474.478,34,14,0,100,,34AE75B1,United Kingdom,,Full-Time,English,United Kingdom,Male,No
5e9da9ebce8d720b6b50c540,5dfd2bc3e297d5a1e28a4d62,AWAITING REVIEW,2020-04-20 13:55:58,2020-04-20 14:29:57,2039.529,21,78,0,100,,34AE75B1,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
5e9da9efd8d3330b38d923c4,5e167aa29195c6c5bd83b031,AWAITING REVIEW,2020-04-20 13:56:00,2020-04-20 14:23:26,1646.335,22,100,0,100,,34AE75B1,United States,United States,Part-Time,English,United States,Male,Yes
5e9dab39595cb10a6b5f4060,5b222aff59f9620001c109cb,AWAITING REVIEW,2020-04-20 14:01:29,2020-04-20 14:42:00,2430.595,27,479,3,100,,34AE75B1,Finland,Finland,Unemployed (and job seeking),Finnish,Finland,Male,No
5e9dac49b97f220b623d1bc6,5d920df12b679a00182bbc73,AWAITING REVIEW,2020-04-20 14:09:50,2020-04-20 14:43:28,2018.359,34,279,0,100,,34AE75B1,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5e9dae3cae0ef00b4a51db07,5c87b4fc7e3a9f0016245fde,AWAITING REVIEW,2020-04-20 14:20:26,2020-04-20 14:52:32,1926.493,21,249,2,100,,34AE75B1,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5e9db89b8ea28c0d6568926f,5da71ab67547d30017c1970d,AWAITING REVIEW,2020-04-20 14:58:36,2020-04-20 15:31:40,1984.183,33,72,2,98,,34AE75B1,Portugal,Poland,Full-Time,Portuguese,Portugal,Male,No
5e9dbc79df12590e6e97956e,5cd30b2041a6b8001874c41f,AWAITING REVIEW,2020-04-20 15:15:05,2020-04-20 15:54:19,2353.116,25,129,0,100,,34AE75B1,Greece,Greece,Unemployed (and job seeking),Greek,Greece,Female,No
5e9dbd3b3d93b10e34280690,5c388f181ede2b00011571f4,AWAITING REVIEW,2020-04-20 15:18:22,2020-04-20 15:45:19,1617.103,27,93,0,100,,34AE75B1,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5e9dbd3b0fb1590ed13a9084,5e050c985cc380f86dbd26a7,AWAITING REVIEW,2020-04-20 15:18:31,2020-04-20 16:00:09,2498.05,25,26,0,100,,34AE75B1,Poland,Poland,Other,Polish,Poland,Female,Yes
5e9dbd3c2b48630ecb51b349,5e0fe41c15ef406fb0b04101,AWAITING REVIEW,2020-04-20 15:18:20,2020-04-20 15:55:33,2232.101,26,59,0,100,,34AE75B1,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5e9dbd3c3fcda10e054449f1,5e9378c1facc7d6c21fa8310,AWAITING REVIEW,2020-04-20 15:18:21,2020-04-20 15:48:29,1808.184,24,5,0,100,,34AE75B1,Italy,Italy,Part-Time,Italian,Italy,Female,Yes
5e9dbd3d3b9df80d2adeb80e,5be7087a72aa7b00015545de,AWAITING REVIEW,2020-04-20 15:18:24,2020-04-20 15:53:02,2078.252,22,36,0,100,,34AE75B1,Lithuania,United Kingdom,Full-Time,Russian,Lithuania,Female,No
5e9dbd3e8f898d0e0cbc8dd0,5be1c4f8397d120001a01d76,AWAITING REVIEW,2020-04-20 15:18:22,2020-04-20 15:48:13,1791.042,22,178,4,98,,34AE75B1,Spain,Spain,Unemployed (and job seeking),Spanish,Spain,Male,Yes
5e9dbd401af35c0eebdfbef1,5d0902aabcfaa80001c207a6,AWAITING REVIEW,2020-04-20 15:18:25,2020-04-20 15:53:14,2089.579,27,207,1,100,,34AE75B1,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
5e9dbd4bdf12590e6e979573,580241d0279ffd000124e3e3,AWAITING REVIEW,2020-04-20 15:18:35,2020-04-20 15:43:36,1501.299,33,75,0,100,,34AE75B1,Portugal,Portugal,Other,Portuguese,Portugal,Female,No
5e9dc251d9f39c0f3502965a,5d6927928a415c00194dfb6f,AWAITING REVIEW,2020-04-20 15:40:01,2020-04-20 15:58:24,1102.367,25,195,3,98,,34AE75B1,United States,Canada,Full-Time,English,United States,Female,Yes
